#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet100_v7                      | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet100_v7                      | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet100_v7                      | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet100_v7                      | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet100_v7                      | 186156.451461133 | 171329.768964102 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet120_v6                      | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet120_v6                      | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet120_v6                      | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet120_v6                      | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet120_v6                      | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet30_v8                       | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet30_v8                       | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet30_v8                       | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet30_v8                       | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet30_v8                       | 640.223148938    | 588.192825151    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet40_v7                       | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet40_v7                       | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet40_v7                       | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet40_v7                       | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet40_v7                       | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet50_v7                       | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet50_v7                       | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet50_v7                       | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet50_v7                       | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet50_v7                       | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4CaloJet80_v7                       | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4CaloJet80_v7                       | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4CaloJet80_v7                       | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4CaloJet80_v7                       | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4CaloJet80_v7                       | 42309.080491948  | 38949.804471158  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4PFJet100_v12                       | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4PFJet100_v12                       | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_AK4PFJet100_v12                       | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_AK4PFJet100_v12                       | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_AK4PFJet100_v12                       | 201993.665231342 | 186070.385043779 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_AK4PFJet120_v11                       | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_AK4PFJet120_v11                       | 17740.214379379  | 17555.830667304  |
