#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+-------------------+-------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)    | recorded(/ub)     |
+-------------+-------------------+------+---------------------------------------------------------------------------------+-------------------+-------------------+
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFHT800_TrimMass50_v11                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFHT850_TrimMass50_v10                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFHT900_TrimMass50_v10                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet140_v14                                                             | 6538.636697700    | 6380.684411754    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet200_v14                                                             | 28022.728704427   | 27345.790336087   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet260_v15                                                             | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet320_v15                                                             | 168751.671476513  | 164705.075151824  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17_v1                              | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1_v1                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v1                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02_v2                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet400_TrimMass30_v11                                                  | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet400_v15                                                             | 506255.014429538  | 494115.225455473  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet40_v15                                                              | 2.600973021       | 2.538602748       |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet420_TrimMass30_v10                                                  | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet450_v15                                                             | 1012510.028859076 | 988230.450910946  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet500_v15                                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet550_v10                                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet60_v14                                                              | 50.943900823      | 49.722286838      |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJet80_v14                                                              | 238.237653849     | 232.524811979     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd140_v13                                                          | 16200.160461745   | 15811.687214575   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd200_v13                                                          | 202502.005771815  | 197646.090182189  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd260_v14                                                          | 1012510.028859076 | 988230.450910946  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd320_v14                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd400_v14                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd40_v14                                                           | 0.866991007       | 0.846200916       |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd450_v14                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd500_v14                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd60_v13                                                           | 78.641555640      | 76.755763178      |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_AK8PFJetFwd80_v13                                                           | 529.417008554     | 516.721804398     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4DiJet110_Mu5_v12                                                  | 245198.876163740  | 239275.665440757  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4DiJet170_Mu5_v11                                                  | 1269376.436428321 | 1238885.893714465 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4DiJet20_Mu5_v12                                                   | 4086.647936062    | 3987.927757346    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4DiJet40_Mu5_v12                                                   | 24519.887616374   | 23927.566544076   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4DiJet70_Mu5_v12                                                   | 108977.278294995  | 106344.740195892  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK4Jet300_Mu5_v11                                                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK8DiJet170_Mu5_v8                                                   | 1269376.436428321 | 1238885.893714465 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK8Jet170_DoubleMu5_v1                                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_BTagMu_AK8Jet300_Mu5_v11                                                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloJet500_NoJetID_v12                                                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloJet550_NoJetID_v7                                                       | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET100_HBHECleaned_v4                                                   | 126563.753607385  | 123528.806363868  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET100_NotCleaned_v4                                                    | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET110_NotCleaned_v4                                                    | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET250_HBHECleaned_v4                                                   | 1012510.028859076 | 988230.450910946  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET250_NotCleaned_v4                                                    | 1012510.028859076 | 988230.450910946  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET300_HBHECleaned_v4                                                   | 2025020.057718153 | 1976460.901821893 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET350_HBHECleaned_v4                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET70_HBHECleaned_v4                                                    | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET80_HBHECleaned_v4                                                    | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET80_NotCleaned_v4                                                     | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET90_HBHECleaned_v4                                                    | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMET90_NotCleaned_v4                                                     | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_CaloMHT90_v4                                                                | 63281.876803692   | 61764.403181934   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4                                       | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DiJet110_35_Mjj650_PFMET110_v8                                              | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DiJet110_35_Mjj650_PFMET120_v8                                              | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DiJet110_35_Mjj650_PFMET130_v8                                              | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v15                                  | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v16                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v16                                             | 4050040.115436305 | 3952921.803643786 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve100_HFJEC_v14                                                     | 476.475307698     | 465.049623958     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve140_v12                                                           | 6538.636697700    | 6380.684411754    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve160_HFJEC_v14                                                     | 28022.728704427   | 27345.790336087   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve200_v12                                                           | 28022.728704427   | 27345.790336087   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve220_HFJEC_v15                                                     | 1269376.436428321 | 1238885.893714465 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve260_v13                                                           | 79336.027276770   | 77430.368357154   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve300_HFJEC_v15                                                     | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve320_v13                                                           | 211562.739404720  | 206480.982285744  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve400_v13                                                           | 634688.218214161  | 619442.946857232  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve40_v13                                                            | 37.144663187      | 36.251720591      |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve500_v13                                                           | 2538752.872856643 | 2477771.787428929 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve60_HFJEC_v14                                                      | 650.243255268     | 634.650686946     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve60_v13                                                            | 154.792946557     | 151.076122086     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve80_HFJEC_v14                                                      | 476.475307698     | 465.049623958     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiPFJetAve80_v12                                                            | 476.475307698     | 465.049623958     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DiSC30_18_EIso_AND_HE_Mass70_v13                                            | 31640.938401846   | 30882.201590967   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi3p5_Muon2_v5                                                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v6                                               | 27000.267436242   | 26352.812024292   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_L1_NoOS_v6                                                     | 1177.337242859    | 1149.105175478    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v6                                   | 27000.267436242   | 26352.812024292   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v6                                            | 1177.337242859    | 1149.105175478    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_NoVertexing_v7                                                 | 1177.337242859    | 1149.105175478    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Jpsi_v7                                                             | 1177.337242859    | 1149.105175478    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_LowMass_L1_0er1p5_v7                                                | 18837.395885750   | 18385.682807646   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_LowMass_L1_4_v7                                                     | 9418.697942875    | 9192.841403823    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_LowMass_L1_TM530_v5                                                 | 11250.111431768   | 10980.338343455   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_LowMass_v7                                                          | 588.668621430     | 574.552587739     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Upsilon_L1_4p5_v8                                                   | 6328.187680369    | 6176.440318193    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v6                                             | 45000.445727070   | 43921.353373820   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Upsilon_L1_4p5er2p0_v8                                              | 101251.002885908  | 98823.045091095   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v5                                            | 147274.186015866  | 143742.611041592  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon0_Upsilon_NoVertexing_v6                                              | 45000.445727070   | 43921.353373820   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon12_Upsilon_y1p4_v1                                                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon14_Phi_Barrel_Seagulls_v6                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon18_PsiPrime_noCorrL1_v5                                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon18_PsiPrime_v13                                                       | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon24_Phi_noCorrL1_v5                                                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon24_Upsilon_noCorrL1_v5                                                | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon25_Jpsi_noCorrL1_v5                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon25_Jpsi_v13                                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13     | 253127.507214769  | 247057.612727737  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v14       | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v1              | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_v1                     | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle24_eta2p1_WPTight_Gsf_v6                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle25_CaloIdL_MW_v3                                                   | 8100080.230872611 | 7905843.607287572 |
