#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+--------------------+--------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)     | recorded(/ub)      |
+-------------+-------------------+------+---------------------------------------------------------------------------------+--------------------+--------------------+
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFHT800_TrimMass50_v11                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFHT850_TrimMass50_v10                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFHT900_TrimMass50_v10                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet140_v14                                                             | 41365.100263082    | 38997.122973972    |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet200_v14                                                             | 177279.001127496   | 167130.527031308   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet260_v15                                                             | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet320_v15                                                             | 1173403.512391425  | 1104513.254412057  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17_v1                              | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1_v1                               | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v1                           | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v1                           | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02_v2                           | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet400_TrimMass30_v11                                                  | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet400_v15                                                             | 3520210.537174277  | 3313539.763236172  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet40_v15                                                              | 18.085692733       | 17.023885755       |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet420_TrimMass30_v10                                                  | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet450_v15                                                             | 7040421.074348553  | 6627079.526472343  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet500_v15                                                             | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet550_v10                                                             | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet60_v14                                                              | 354.235022609      | 333.437963596      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJet80_v14                                                              | 1656.569664553     | 1559.312829758     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd140_v13                                                          | 112646.737189577   | 106033.272423557   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd200_v13                                                          | 1408084.214869710  | 1325415.905294469  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd260_v14                                                          | 7040421.074348553  | 6627079.526472343  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd320_v14                                                          | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd400_v14                                                          | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd40_v14                                                           | 6.028564244        | 5.674628585        |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd450_v14                                                          | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd500_v14                                                          | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd60_v13                                                           | 546.828821309      | 514.724623415      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_AK8PFJetFwd80_v13                                                           | 3681.265921228     | 3465.139621685     |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4DiJet110_Mu5_v12                                                  | 1551191.259865591  | 1462392.111523943  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4DiJet170_Mu5_v11                                                  | 7726950.845571276  | 7287207.331202262  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4DiJet20_Mu5_v12                                                   | 25853.187664427    | 24373.201858732    |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4DiJet40_Mu5_v12                                                   | 155119.125986559   | 146239.211152394   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4DiJet70_Mu5_v12                                                   | 689418.337718040   | 649952.049566197   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK4Jet300_Mu5_v11                                                    | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK8DiJet170_Mu5_v8                                                   | 7726950.845571276  | 7287207.331202262  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK8Jet170_DoubleMu5_v1                                               | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_BTagMu_AK8Jet300_Mu5_v11                                                    | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloJet500_NoJetID_v12                                                      | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloJet550_NoJetID_v7                                                       | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET100_HBHECleaned_v4                                                   | 880052.634293569   | 828384.940809043   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET100_NotCleaned_v4                                                    | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET110_NotCleaned_v4                                                    | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET250_HBHECleaned_v4                                                   | 7040421.074348553  | 6627079.526472343  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET250_NotCleaned_v4                                                    | 7040421.074348553  | 6627079.526472343  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET300_HBHECleaned_v4                                                   | 14080842.148697106 | 13254159.052944686 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET350_HBHECleaned_v4                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET70_HBHECleaned_v4                                                    | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET80_HBHECleaned_v4                                                    | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET80_NotCleaned_v4                                                     | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET90_HBHECleaned_v4                                                    | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMET90_NotCleaned_v4                                                     | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_CaloMHT90_v4                                                                | 440026.317146785   | 414192.470404521   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v4                                       | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 128  | HLT_DiJet110_35_Mjj650_PFMET110_v8                                              | 48835231.851436503 | 45675944.854737736 |
